tag,sy,sy_i,pct_practicing,n_sch_year,term,estimate,std.error,statistic,p.value,rank
practices_trauma_informed,20-21,2,0.4823529411764706,85,sy_i,0.21556372549019612,NA,NA,NA,1
practices_trauma_informed,21-22,3,0.6979166666666666,96,sy_i,0.21556372549019612,NA,NA,NA,1
practices_culturally_responsive,18-19,0,0.5,48,sy_i,0.11458333333333333,0.010030906125036753,11.4230291765305,0.05558953900951093,4
practices_culturally_responsive,20-21,2,0.7058823529411765,85,sy_i,0.11458333333333333,0.010030906125036753,11.4230291765305,0.05558953900951093,4
practices_culturally_responsive,21-22,3,0.84375,96,sy_i,0.11458333333333333,0.010030906125036753,11.4230291765305,0.05558953900951093,4
practices_sel_curriculum,18-19,0,0.1875,48,sy_i,0.09375000000000001,0.034844200223811864,2.6905481944720617,0.22654071155815986,8
practices_sel_curriculum,20-21,2,0.29411764705882354,85,sy_i,0.09375000000000001,0.034844200223811864,2.6905481944720617,0.22654071155815986,8
practices_sel_curriculum,21-22,3,0.46875,96,sy_i,0.09375000000000001,0.034844200223811864,2.6905481944720617,0.22654071155815986,8
practices_sel_integrated,18-19,0,0.5833333333333334,48,sy_i,0.08333333333333337,0.019005927394806502,4.384597057658168,0.1427528530898047,15
practices_sel_integrated,20-21,2,0.7058823529411765,85,sy_i,0.08333333333333337,0.019005927394806502,4.384597057658168,0.1427528530898047,15
practices_sel_integrated,21-22,3,0.8333333333333334,96,sy_i,0.08333333333333337,0.019005927394806502,4.384597057658168,0.1427528530898047,15
practices_competency_framework,18-19,0,0.5,48,sy_i,0.04513888888888887,0.016084645961901026,2.8063340029869055,0.21792058789381005,37
practices_competency_framework,20-21,2,0.5529411764705883,85,sy_i,0.04513888888888887,0.016084645961901026,2.8063340029869055,0.21792058789381005,37
practices_competency_framework,21-22,3,0.6354166666666666,96,sy_i,0.04513888888888887,0.016084645961901026,2.8063340029869055,0.21792058789381005,37
practices_competency_education,18-19,0,0.6458333333333334,48,sy_i,0.03819444444444447,0.02224397428429208,1.717069259130373,0.3357332784529995,44
practices_competency_education,20-21,2,0.6705882352941176,85,sy_i,0.03819444444444447,0.02224397428429208,1.717069259130373,0.3357332784529995,44
practices_competency_education,21-22,3,0.7604166666666666,96,sy_i,0.03819444444444447,0.02224397428429208,1.717069259130373,0.3357332784529995,44
